state_name,city,"ROUND(AVG(Mean),1)"
Alaska,"Delta Junction",242857
"New Jersey","Short Hills",216503
Pennsylvania,Narberth,194426
Maryland,"Chevy Chase",194157.5
Connecticut,Darien,192882
Virginia,"Great Falls",192103.5
"New York",Pelham,190909
Virginia,Chantilly,190865
Virginia,Mclean,188414
"New York",Bronxville,188005
California,"Agoura Hills",182475
Virginia,Ashburg,181788
"New York",Albertson,181057
Illinois,Winnetka,180180
Pennsylvania,Gladwyne,178869
California,"Portola Valley",177665
"New York",Rye,176084
Massachusetts,Weston,175409
"New Jersey","Upper Saddle River",174859
California,Hillsborough,173210
Illinois,Glencoe,172218.5
California,Moraga,171929
Maryland,Clarksville,170772
"New Jersey","N Caldwell",170374.5
Massachusetts,Wellesley,169853
Connecticut,"New Canaan",169270
"New Jersey",Manalapan,168254.5
"New Jersey","Little Silver",168139
"New Jersey",Lincroft,168103
Washington,"Mercer Island",167705.5
Virginia,Clifton,167544
Colorado,"Cherry Hills Village",167533
Massachusetts,Dover,166918
"New Jersey",Ridgewood,166789
"New Jersey","S Orange",166307
"New Jersey","Essex Fells",166235
"New Jersey","Glen Rock",165661
"New Jersey",Califon,165370
"New Jersey","Englewood Cliffs",165326.5
California,"Los Altos",165306.8
California,Ross,164985
Missouri,"Town And Country",164799
"New Jersey",Rumson,164625.5
"New Jersey",Oakland,164415
California,"La Canada",164286
Colorado,Superior,164114
Illinois,"Lake Forest",164027
Illinois,"South Barrington",164017
"New Jersey",Randolph,163904
Massachusetts,Sudbury,163820.5
California,Cypress,163746.5
Connecticut,Wilton,163612.7
California,"Manhattan Beach",162495.2
Missouri,Brentwood,162436
"New York","Pound Ridge",161993
Maryland,Fulton,161706.5
Nebraska,"Boys Town",161310
"New Jersey",Verona,161195
Illinois,Hinsdale,160991
"New Jersey",Haworth,160653
Wisconsin,"North Lake",160423
"New York","Rye Brook",160145
California,Saratoga,160094.7
Maryland,Bethesda,160056.8
"New Jersey",Holmdel,159715
"New Jersey",Haddonfield,158768
Pennsylvania,Berwyn,158724
Texas,Southlake,158531
"New York",Manhasset,158429.3
"New York",Thornwood,158331
Illinois,"Western Springs",158227
Arizona,"Paradise Valley",158195
Illinois,"River Forest",157950
"New Jersey",Westfield,157914.5
Massachusetts,Southborough,157890
Virginia,Oakton,157812.7
Texas,Fulshear,157504
California,Lafayette,157484
Virginia,"Fairfax Station",157464.3
"New Jersey","Pine Brook",157448
"New Hampshire",Hanover,157407
Florida,"Southwest Ranches",156828
"New Jersey","Berkeley Hts",156657
"New York",Scarsdale,156627.8
California,"San Marino",156600
"New York","Cold Spring Harbor",156563
California,"Coto De Caza",156168
Pennsylvania,"New Hope",155990
Washington,Sammamish,155794.8
Connecticut,Fairfield,155065.9
"New Jersey",Tenafly,154902.3
"New York","Mount Sinai",154709
Maryland,Potomac,154307.2
Maryland,"Ellicott City",154167
"New Jersey",Princeton,154159.8
Pennsylvania,"Chester Springs",154156
"New Jersey",Kinnelon,153773
Pennsylvania,Radnor,153628
Massachusetts,"West Newton",153619
California,"Corte Madera",153399
"New Jersey",Mountainside,153091
Connecticut,Avon,152937
California,"Solana Beach",152893
"New Jersey",Dayton,151913
Massachusetts,Carlisle,151855
California,"El Dorado Hills",151688.3
Maryland,Olney,151612.5
Illinois,Flossmoor,151344
California,Cupertino,151270.8
Connecticut,Ridgefield,151236.3
California,Calabasas,151185
Virginia,Ashburn,151125.8
Maryland,Burtonsville,151110
California,Orinda,150793.8
Illinois,Lincolnshire,150702
"New York",Ardsley,150582.3
"New York","Yorktown Heights",150575
California,"Palos Verdes Estates",150223
Connecticut,Westport,150009
California,Atherton,149965
