state_name,city,"ROUND(AVG(Median),1)"
Texas,Southlake,300000
Texas,Comfort,300000
Texas,Decatur,300000
Texas,Andrews,300000
Texas,Pollok,300000
Texas,Mcleod,300000
Utah,Wellington,300000
Vermont,Waitsfield,300000
Virginia,Purcellville,300000
Washington,Manson,300000
"West Virginia",Maysville,300000
Wisconsin,Wrightstown,300000
Wisconsin,Monroe,300000
Wisconsin,Germantown,300000
Wisconsin,Clintonville,300000
California,"Plumas Lake",300000
Colorado,Eaton,300000
Connecticut,Glastonbury,300000
Connecticut,Woodstock,300000
Georgia,Pelham,300000
Georgia,Hazlehurst,300000
Georgia,Clarkesville,300000
Georgia,Senoia,300000
Georgia,Palmetto,300000
Idaho,Shelley,300000
Illinois,"West Peoria",300000
Illinois,Neoga,300000
Illinois,Clinton,300000
Indiana,Bicknell,300000
Indiana,"Royal Center",300000
Indiana,Munster,300000
Indiana,Griffith,300000
Indiana,Leopold,300000
Iowa,Waukee,300000
Iowa,Slater,300000
Kansas,Meriden,300000
Kansas,Randolph,300000
Kansas,Chapman,300000
Kansas,Cheney,300000
Maryland,Hedgesville,300000
Maryland,"Mount Airy",300000
Massachusetts,Maynard,300000
Massachusetts,Westwood,300000
Massachusetts,Westminster,300000
Massachusetts,Bellingham,300000
Minnesota,"Saint Michael",300000
Mississippi,"French Camp",300000
Mississippi,Whitfield,300000
Missouri,Weston,300000
Missouri,Faucett,300000
Montana,Opheim,300000
"New Jersey","Ho  Ho  Kus",300000
"New Jersey",Millburn,300000
"New Jersey",Dayton,300000
"New Jersey","North Middletown",300000
"New Jersey","Spring Lake Heights",300000
"New Jersey",Howell,300000
"New Jersey","Pine Brook",300000
"New Jersey","Pompton Lakes",300000
"New Jersey","Green Brook",300000
"New Mexico",Logan,300000
"New York",Rexford,300000
"New York","Bolton Landing",300000
"New York","West Harrison",300000
"New York",Latham,300000
"New York","Johnson City",300000
"New York","Old Forge",300000
"New York","La Fargeville",300000
"North Carolina",Elon,300000
Ohio,Sycamore,300000
Ohio,Gibsonburg,300000
Ohio,"Upper Sandusky",300000
Ohio,Willard,300000
Ohio,Whitehouse,300000
Ohio,"Fort Recovery",300000
Oklahoma,"Elk City",300000
Oregon,"Gold Beach",300000
Oregon,Clackamas,300000
Oregon,Silverton,300000
Pennsylvania,Klingerstown,300000
Pennsylvania,"Oil City",300000
Pennsylvania,Dallastown,300000
"Rhode Island","Block Island",300000
"South Carolina",Mayo,300000
"South Carolina",Pauline,300000
"South Dakota",Iroquois,300000
Tennessee,Portland,300000
Texas,Justin,300000
Texas,"Meadows Place",300000
Texas,Kountze,300000
Texas,Venus,300000
Utah,Wellsville,300000
Vermont,Jericho,300000
Virginia,"Fort Defiance",300000
Virginia,Montpelier,300000
Washington,Randle,300000
Washington,Enumclaw,300000
Washington,Custer,300000
"West Virginia",Volga,300000
"West Virginia","Shenandoah Junction",300000
Wisconsin,Middleton,300000
California,Coronado,300000
Colorado,Conifer,300000
Connecticut,Madison,300000
Connecticut,Rogers,300000
Delaware,Hockessin,300000
Florida,"Orange City",300000
Idaho,Mccall,300000
Idaho,Carey,300000
Idaho,Ola,300000
Illinois,Minooka,300000
Illinois,Union,300000
Illinois,Carlinville,300000
Illinois,Rochester,300000
Illinois,"Prospect Heights",300000
Illinois,Plano,300000
Indiana,Auburn,300000
Indiana,Hayden,300000
Indiana,"Rolling Prairie",300000
Indiana,Lynn,300000
Indiana,Osceola,300000
Iowa,"Middle Amana",300000
Iowa,Norway,300000
Iowa,Oelwein,300000
Iowa,"Long Grove",300000
Kansas,Maize,300000
Kentucky,Hebron,300000
Louisiana,Florien,300000
Louisiana,Bourg,300000
Louisiana,Angola,300000
Maryland,Jefferson,300000
Maryland,Brandywine,300000
Maryland,Williamsport,300000
Massachusetts,"Vineyard Haven",300000
Massachusetts,Dunstable,300000
Massachusetts,Weston,300000
Massachusetts,Medway,300000
Massachusetts,Hull,300000
Massachusetts,Kingston,300000
Massachusetts,Bolton,300000
Massachusetts,Leicester,300000
Massachusetts,Shrewsbury,300000
Massachusetts,Westborough,300000
Minnesota,"West Saint Paul",300000
Mississippi,Bentonia,300000
Mississippi,Stringer,300000
Missouri,Lansing,300000
Missouri,Miami,300000
Missouri,Raymore,300000
Missouri,Barnhart,300000
Missouri,Kirbyville,300000
Nebraska,Palisade,300000
Nebraska,Paxton,300000
Nebraska,Lodgepole,300000
"New Hampshire","North Haverhill",300000
"New Hampshire",Gorham,300000
"New Jersey",Medford,300000
"New Jersey","Three Bridges",300000
"New Jersey",Hightstown,300000
"New Jersey",Dunellen,300000
"New Jersey","South Amboy",300000
"New Jersey","Bradley Beach",300000
